location	QoS	longitude	station	latitude	revision
America/Chicago	accep	-88.3162	Crystal Lake	42.24113	09 Feb 2021
Africa/Kigali	good	30.4347	Rwamagana	-1.9487	30 Aug 2016
America/Indiana/Indianapolis	accep	-85.76942	Greenfield	39.78504	2013/12/31
Africa/Algiers	average	2.31889	Ksar Chellala	35.21222	08/31/2016, 00:00:00
Europe/Moscow	accep	38.07083	Stupino	54.90083	14 Jun 2019
Africa/Windhoek	good	16.91667	Okahandja	-21.98333	2015-06-28
America/New_York	excellent	-75.23266	Utica	43.1009	05 Aug 2018
America/Chicago	accep	-90.10674	Estelle	29.84576	12 Apr 2016
Europe/Brussels	average	3.16667	Wevelgem	50.8	21 Jun 2013
Europe/Amsterdam	building	5.22778	Culemborg	51.955	2019-08-01
